id;servicenumber;statuscode;created;msgid;put;reasoncode;route;direction
1;0001-9300120-040204-00000048/18;1069;2018-11-11 15:56:59.317981;2d313534303932373737333837312d313a323a383a313a32;2018-11-09 16:38:39.520000;;true;inc
2;0001-9300120-040204-00000048/18;1068;2018-11-11 16:00:56.118485;2d313534303932373737333837312d313a323a373a313a32;2018-11-09 16:34:23.530000;;true;inc
3;8899-9300120-040204-00000060/18;1010;2018-11-12 12:22:46.553475;414d512047553031514d2020202020200133e55b209e8c24;2018-11-12 12:22:30.730000;;true;out
4;8899-9300120-040204-00000061/18;1010;2018-11-12 12:23:15.792833;414d512047553031514d2020202020200133e55b269e8c24;2018-11-12 12:23:02.450000;;true;out
5;8899-9300120-040204-00000062/18;1010;2018-11-12 12:23:37.108244;414d512047553031514d2020202020200133e55b2c9e8c24;2018-11-12 12:23:14.950000;;true;out
6;8899-9300120-040204-00000063/18;1010;2018-11-12 12:23:57.645862;414d512047553031514d2020202020200133e55b329e8c24;2018-11-12 12:23:36.520000;;true;out
7;8899-9300120-040204-00000064/18;1010;2018-11-12 12:24:08.743626;414d512047553031514d2020202020200133e55b389e8c24;2018-11-12 12:23:56.890000;;true;out
8;8899-9300120-040204-00000065/18;1010;2018-11-12 12:24:46.531125;414d512047553031514d2020202020200133e55b3e9e8c24;2018-11-12 12:24:08.270000;;true;out
9;8899-9300120-040204-00000066/18;1010;2018-11-12 12:25:34.594216;414d512047553031514d2020202020200133e55b449e8c24;2018-11-12 12:24:45.960000;;true;out
10;8899-9300120-040204-00000067/18;1010;2018-11-12 12:25:56.171893;414d512047553031514d2020202020200133e55b4a9e8c24;2018-11-12 12:25:33.650000;;true;out
11;8899-9300120-040204-00000068/18;1010;2018-11-12 12:26:32.441037;414d512047553031514d2020202020200133e55b509e8c24;2018-11-12 12:25:55.570000;;true;out
12;8899-9300120-040204-00000069/18;1010;2018-11-12 12:26:36.244116;414d512047553031514d2020202020200133e55b569e8c24;2018-11-12 12:26:32.000000;;true;out
13;8899-9300120-040204-00000077/18;1010;2018-11-12 12:26:44.869463;414d512047553031514d2020202020200133e55b5c9e8c24;2018-11-12 12:26:44.120000;;true;out
14;8899-9300120-040204-00000071/18;1010;2018-11-12 12:26:47.042286;414d512047553031514d2020202020200133e55b629e8c24;2018-11-12 12:26:46.010000;;true;out
15;8899-9300120-040204-00000070/18;1010;2018-11-12 12:26:48.670595;414d512047553031514d2020202020200133e55b689e8c24;2018-11-12 12:26:46.800000;;true;out
16;8899-9300120-040204-00000072/18;1010;2018-11-12 12:26:50.888026;414d512047553031514d2020202020200133e55b6e9e8c24;2018-11-12 12:26:48.320000;;true;out
17;8899-9300120-040204-00000074/18;1010;2018-11-12 12:26:51.136420;414d512047553031514d2020202020200133e55b749e8c24;2018-11-12 12:26:49.230000;;true;out
18;8899-9300120-040204-00000073/18;1010;2018-11-12 12:26:52.622254;414d512047553031514d2020202020200133e55b7a9e8c24;2018-11-12 12:26:50.360000;;true;out
19;8899-9300120-040204-00000075/18;1010;2018-11-12 12:26:55.021644;414d512047553031514d2020202020200133e55b809e8c24;2018-11-12 12:26:51.730000;;true;out
20;8899-9300120-040204-00000076/18;1010;2018-11-12 12:26:55.372521;414d512047553031514d2020202020200133e55b869e8c24;2018-11-12 12:26:54.650000;;true;out
21;8899-9300120-040204-00000078/18;1010;2018-11-12 12:32:17.783824;414d512047553031514d2020202020200133e55b8c9e8c24;2018-11-12 12:32:07.720000;;true;out
22;8899-9300120-040204-00000079/18;1010;2018-11-12 12:32:26.586005;414d512047553031514d2020202020200133e55b929e8c24;2018-11-12 12:32:15.600000;;true;out
23;8899-9300120-040204-00000080/18;1010;2018-11-12 12:33:12.977598;414d512047553031514d2020202020200133e55b989e8c24;2018-11-12 12:32:25.910000;;true;out
24;8899-9300120-040204-00000081/18;1010;2018-11-12 12:33:26.060671;414d512047553031514d2020202020200133e55b9e9e8c24;2018-11-12 12:33:12.460000;;true;out
25;8899-9300120-040204-00000082/18;1010;2018-11-12 12:33:33.355267;414d512047553031514d2020202020200133e55ba49e8c24;2018-11-12 12:33:25.290000;;true;out
26;8899-9300120-040204-00000083/18;1010;2018-11-12 12:33:40.694206;414d512047553031514d2020202020200133e55baa9e8c24;2018-11-12 12:33:32.970000;;true;out
27;8899-9300120-040204-00000084/18;1010;2018-11-12 12:34:07.463868;414d512047553031514d2020202020200133e55bb09e8c24;2018-11-12 12:33:40.270000;;true;out
28;8899-9300120-040204-00000085/18;1010;2018-11-12 12:34:40.280700;414d512047553031514d2020202020200133e55bb69e8c24;2018-11-12 12:34:05.800000;;true;out
29;8899-9300120-040204-00000086/18;1010;2018-11-12 12:35:09.530516;414d512047553031514d2020202020200133e55bbc9e8c24;2018-11-12 12:34:39.760000;;true;out
30;8899-9300120-040204-00000087/18;1010;2018-11-12 12:35:22.136176;414d512047553031514d2020202020200133e55bc29e8c24;2018-11-12 12:35:08.840000;;true;out
31;8899-9300120-040204-00000088/18;1010;2018-11-12 12:35:43.350163;414d512047553031514d2020202020200133e55bc89e8c24;2018-11-12 12:35:21.690000;;true;out
32;8899-9300120-040204-00000089/18;1010;2018-11-12 12:36:43.608016;414d512047553031514d2020202020200133e55bce9e8c24;2018-11-12 12:35:42.380000;;true;out
33;8899-9300120-040204-00000091/18;1010;2018-11-12 12:37:17.911957;414d512047553031514d2020202020200133e55bd49e8c24;2018-11-12 12:37:04.150000;;true;out
34;8899-9300120-040204-00000092/18;1010;2018-11-12 12:37:28.250814;414d512047553031514d2020202020200133e55bda9e8c24;2018-11-12 12:37:17.290000;;true;out
